Category,Message
Bank account or service,"Account opening, closing, or management"
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105904 , serial no 051622877"
Bank account or service,"Account opening, closing, or management"
Electrical Inspection Division,"Wires hanging out of boxes in kitchen, extension cord wiring circuit breakers trip-spark when reset.  please knock on door and ask to see wiring."
Prepaid card,Unauthorized transactions/trans. issues
Debt collection,Cont'd attempts collect debt not owed
Credit reporting,Unable to get credit report/credit score
Prepaid card,"Advertising, marketing or disclosures"
Code Enforcement Section,"Vacant building 
2020 registration due 8/7/20"
Disabled Access Division,The elevator is breaking down daily for the last year.  the building is new and people with disabilities live there.
Bank account or service,Deposits and withdrawals
Electrical Inspection Division,"Wall fan with no on/off switch,use plug instead, behind circular door, (address also known as: 742-746 arguello)"
Electrical Inspection Division,"Exposed wiring, no heat and illegal room in the garage."
Mortgage,"Loan modification,collection,foreclosure"
Department of Bldg Inspection,Roof leaking for over a year.
Department of Bldg Inspection,"Other phone#-661-3958.  wall underneath front stairs has dry rot which can be seen from garage; floor joists and floor undernearth bathtub may  have dry rot-safety hazard; there is a room at back of house supported by stilts-wood is soft; all windows in the house leak-damage to exterior walls undernearth windows is visible through holes in plaster which is crumbling away, can see soggy laths."
Debt collection,Cont'd attempts collect debt not owed
Building Inspection Division,Two illegal units in rear w/out permits.
Electrical Inspection Division,"Doing work without a permit.  both doors are also locked creating a fire hazard.  garbage is stewn around property.  according to complaintant, this property has been written up prior by ed sweeney of the building dept."
Debt collection,Cont'd attempts collect debt not owed
Building Inspection Division,Date last observed: 27-nov-19;    time last observed: 1100;    floor: ground;    exact location: shed;    building type: commercial/business   exposed wiring; deteriorated electrical equipment; ;    additional information: open electrical wiring for lighting on large open sided storage shed. rear of facility.  bundled cardboard is stored there.;
Debt collection,Cont'd attempts collect debt not owed
Electrical Inspection Division,"Electrical work done without permit.  caller is concerned about possibilty of fire, if electrical wiring was done incorrectly."
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,Elevator is not working.  wheel chair bound tenant not able to return to his room. fire alarm system not working.  water is too hot.  insect infested.
Consumer Loan,Problems when you are unable to pay
Credit card,Other
Prepaid card,Unauthorized transactions/trans. issues
Code Enforcement Section,Vacant storefront
